anno,tasso_ufficiale_pubblicato,tasso_ricalcolato_da_pil,scarto_da_tasso_ufficiale
1976,0.156004,0.1596923926009177,0.0036883926009177
1977,0.190509,0.1931862498354297,0.0026772498354297
1978,0.216775,0.2182137834914617,0.0014387834914617
1979,0.210426,0.2118220252363203,0.0013960252363203
1980,0.203363,0.2030428398119637,-0.0003201601880362
1981,0.226929,0.2241799781306732,-0.0027490218693267
1982,0.214364,0.2122081035045526,-0.0021558964954473
1983,0.205767,0.2051762532948915,-0.0005907467051084
1984,0.202694,0.2027187580178293,2.4758017829334955e-05
1985,0.186164,0.1865677903885605,0.0004037903885605
1986,0.160219,0.1613412565289953,0.0011222565289953
1987,0.142703,0.1428712611533735,0.0001682611533735
1988,0.126341,0.1256384764920159,-0.000702523507984
1989,0.115314,0.1151621387407728,-0.0001518612592271
1990,0.105217,0.1061636939516348,0.0009466939516348
1991,0.101013,0.1029720078396456,0.0019590078396456
1992,0.097075,0.1002197364910471,0.0031447364910471
1993,0.088611,0.0916676066777559,0.0030566066777559
1994,0.07299,0.0751935654849302,0.0022035654849302
1995,0.065726,0.0672084704210731,0.0014824704210731
1996,0.062054,0.0621756778378186,0.0001216778378186
1997,0.055871,0.0557785784026798,-9.242159732014003e-05
1998,0.053597,0.0542453230223602,0.0006483230223602
1999,0.056503,0.0565869642864271,8.396428642717946e-05
2000,0.051781,0.0515467925241797,-0.0002342074758202
2001,0.047781,0.0467507808727249,-0.001030219127275
2002,0.043698,0.0454704543501225,0.0017724543501225
2003,0.041614,0.0435932076837128,0.0019792076837128
2004,0.039272,0.0416236436181896,0.0023516436181895
2005,0.040506,0.0435596858416629,0.0030536858416629
2006,0.035386,0.0378833380754637,0.0024973380754637
2007,0.033937,0.0357488069332379,0.0018118069332378
2008,0.034625,0.0365101198454402,0.0018851198454402
2009,0.033201,0.0327090895157358,-0.0004919104842641
2010,0.017935,0.0168192255542469,-0.001115774445753
2011,0.016165,0.015378989281054,-0.0007860107189459
2012,0.011344,0.0121995216723447,0.0008555216723447
2013,0.001643,0.0013754918377089,-0.000267508162291
2014,-0.001927,-0.0027476541300776,-0.0008206541300776
2015,0.005058,0.0064516197096886,0.0013936197096886
2016,0.004684,0.0055420071350533,0.0008580071350533
2017,0.005205,0.0056667471947366,0.0004617471947366
2018,0.013478,0.0133092525149938,-0.0001687474850061
2019,0.018254,0.0185991109485716,0.0003451109485716
2020,0.019199,0.0197664696817929,0.0005674696817929
2021,-0.000215,0.00080844231539,0.00102344231539
2022,0.009973,0.0156504657741216,0.0056774657741216
2023,0.023082,0.0275155585095812,0.0044335585095812
2024,0.036622,0.0380546301077888,0.0014326301077888
2025,0.040445,0.0406727213312481,0.0002277213312481
